approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.592435489572287,0.012216404886561954,0.4,0.023708721422523286,0.5948460987831067,0.49742304939155335,-0.0011605101589863174,0.5263056357258132,0.6,14,1662,1132,21
bert-base-uncased,assessment_design,0.8861788617886179,0.22981366459627328,0.1574468085106383,0.18686868686868688,0.9521973785659213,0.5548220935382798,0.1306166913127916,0.44717011596642536,0.65,37,2470,124,198
bert-base-uncased,exam_fairness,0.9505125486037469,0.6527777777777778,0.5108695652173914,0.573170731707317,0.9810964083175804,0.7459829867674859,0.5519546859902617,0.366263196156224,0.7,94,2595,50,90
bert-base-uncased,grading_transparency,0.9494521032166844,0.5555555555555556,0.10273972602739725,0.17341040462427745,0.995527394707417,0.5491335603674071,0.22360373208210765,0.37098722383379934,0.6,15,2671,12,131
bert-base-uncased,lecturer_quality,0.3803464121597738,0.8647746243739566,0.2365296803652968,0.3714593044101829,0.8732394366197183,0.5548845584925075,0.11235355392444826,0.29153594488095136,0.7,518,558,81,1672
bert-base-uncased,materials,0.8649699540473665,0.6818181818181818,0.038461538461538464,0.07281553398058252,0.997129971299713,0.5177957548806258,0.13968573835115475,0.5894344571550998,0.75,15,2432,7,375
bert-base-uncased,organization,0.8306822198656769,0.48484848484848486,0.06708595387840671,0.11786372007366483,0.9855442176870748,0.5263150857827408,0.13054198846226864,0.18698681890359126,0.7,32,2318,34,445
bert-base-uncased,overall_experience,0.6306115235065394,0.2404255319148936,0.40574506283662476,0.301937207748831,0.6857394366197183,0.5457422497281715,0.07723237169266785,0.7091795210932121,0.6,226,1558,714,331
bert-base-uncased,workload,0.9787910922587487,0.8947368421052632,0.22666666666666666,0.3617021276595745,0.9992737835875091,0.6129702251270879,0.4444026388554074,0.6645755255231052,0.85,17,2752,2,58
