approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.3946991404011461,0.1232876712328767,0.5320754716981132,0.20018930430667298,0.37189392357485906,0.45198469763648613,-0.06894190388714269,0.6558536370031659,0.44999999999999996,423,1781,3008,372
distilbert-base-uncased,exam_fairness,0.7988896848137536,0.5253456221198156,0.390745501285347,0.44815724815724817,0.9067240208286167,0.6487347610569818,0.3338065410810139,0.660883348094434,0.65,456,4005,412,711
distilbert-base-uncased,lecturer_quality,0.6885744985673352,0.604757085020243,0.555039479795634,0.5788326471300557,0.772369571553483,0.6637045256745584,0.3332700762549136,0.4133686522339475,0.6,1195,2650,781,958
distilbert-base-uncased,materials,0.8873567335243553,0.2818181818181818,0.05335628227194492,0.08972503617945007,0.9842094743154107,0.5187828782936779,0.08253662736231247,0.45116878834021684,0.65,31,4924,79,550
distilbert-base-uncased,organization,0.8286174785100286,0.224,0.06837606837606838,0.10477081384471469,0.959286463798531,0.5138312660872997,0.047322624820798256,0.7484863440539422,0.5499999999999999,56,4571,194,763
distilbert-base-uncased,overall_experience,0.6280444126074498,0.6700965980680387,0.8631322694076278,0.7544627024470978,0.1674615792262851,0.5152969243169564,0.040842675578083805,0.6307135918776088,0.39999999999999997,3191,316,1571,506
distilbert-base-uncased,workload,0.6658309455587392,0.3879310344827586,0.04961411245865491,0.08797653958944282,0.9623342175066313,0.5059741649826431,0.028041063392507566,0.752843724612871,0.49999999999999994,90,3628,142,1724
