approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.44358882521489973,0.11973684210526316,0.4578616352201258,0.18983050847457628,0.44121946126539985,0.4495405482427628,-0.07080813582526758,0.7847715147203577,0.5499999999999999,364,2113,2676,431
bert-base-uncased,exam_fairness,0.8123209169054442,0.5802968960863698,0.3684661525278492,0.45073375262054505,0.9295902196060675,0.6490281860669583,0.35721624437495386,0.7065647222195155,0.85,430,4106,311,737
bert-base-uncased,lecturer_quality,0.6395057306590258,0.65625,0.13655364607524384,0.22606689734717417,0.9551151267851938,0.5458343864302189,0.1642488271356909,0.4540619709564422,0.65,294,3277,154,1859
bert-base-uncased,materials,0.8825214899713467,0.31155778894472363,0.10671256454388985,0.15897435897435896,0.9726164301419149,0.5396644973429023,0.13065194404980662,0.5292939536889354,0.6,62,4866,137,519
bert-base-uncased,organization,0.8445558739255015,0.189873417721519,0.018315018315018316,0.0334075723830735,0.9865687303252886,0.5024418743201534,0.014629668972229682,0.5176966732988755,0.7999999999999999,15,4701,64,804
bert-base-uncased,overall_experience,0.5873925501432665,0.7030020402215098,0.6524208817960508,0.6767676767676768,0.4599894011658718,0.5562051414809613,0.10924066681797115,0.5163219893051962,0.49999999999999994,2412,868,1019,1285
bert-base-uncased,workload,0.6309097421203438,0.3735926305015353,0.201212789415656,0.2615549982085274,0.8376657824933686,0.5194392859545123,0.04792291561072471,0.7595183877719648,0.44999999999999996,365,3158,612,1449
