approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.42084527220630374,0.13994685562444642,0.5962264150943396,0.2266857962697274,0.3917310503236584,0.493978732708999,-0.008613928413189637,0.5188903618517493,0.49999999999999994,474,1876,2913,321
bert-base-uncased,exam_fairness,0.8013968481375359,0.5256183745583038,0.5098543273350471,0.5176163549369291,0.8784242698664252,0.6941392986007362,0.3926827179528727,0.6463751870225097,0.6,595,3880,537,572
bert-base-uncased,lecturer_quality,0.6887535816618912,0.5805199844780753,0.6948444031583837,0.6325581395348837,0.684931506849315,0.6898879550038494,0.3707967028113742,0.3781272880281184,0.44999999999999996,1496,2350,1081,657
bert-base-uncased,materials,0.8861031518624641,0.2608695652173913,0.05163511187607573,0.08620689655172414,0.9830101938836698,0.5173226528798728,0.07448088601154723,0.5491454281533757,0.7999999999999999,30,4918,85,551
bert-base-uncased,organization,0.8065902578796562,0.1033434650455927,0.04151404151404151,0.059233449477351915,0.938090241343127,0.48980214142858425,-0.030642773746894107,0.41547880314893143,0.6,34,4470,295,785
bert-base-uncased,overall_experience,0.6198065902578797,0.6803391384051329,0.8030835812821207,0.7366331720630195,0.26073131955484896,0.5319074504184849,0.07304836297770925,0.4976141695403442,0.44999999999999996,2969,492,1395,728
bert-base-uncased,workload,0.6785458452722063,0.6727272727272727,0.020396912899669238,0.03959336543606207,0.9952254641909815,0.5078111885453254,0.07408525725658414,0.7325616708478412,0.5499999999999999,37,3752,18,1777
