approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.22063037249283668,0.14465534465534466,0.9106918238993711,0.2496551724137931,0.106076425140948,0.5083841245201596,0.0192199553989226,0.6175487334274002,0.44999999999999996,724,508,4281,71
distilbert-base-uncased,exam_fairness,0.8074856733524355,0.5874524714828897,0.2647814910025707,0.3650324867099823,0.9508716323296355,0.607826561666103,0.30017367033864517,0.6410254511296897,0.75,309,4200,217,858
distilbert-base-uncased,lecturer_quality,0.6645773638968482,0.625,0.3251277287505806,0.4277421326000611,0.877586709414165,0.6013572190823728,0.24640297762087957,0.4879786708537722,0.65,700,3011,420,1453
distilbert-base-uncased,materials,0.8816260744985673,0.2802197802197802,0.08777969018932874,0.13368283093053734,0.9738157105736558,0.5307977003814923,0.10591040260844761,0.5438101118083531,0.5499999999999999,51,4872,131,530
distilbert-base-uncased,organization,0.5784383954154728,0.12688381137579,0.31868131868131866,0.18150208623087621,0.6230849947534103,0.47088315671736447,-0.04270982700048332,0.6587732773291133,0.5499999999999999,261,2969,1796,558
distilbert-base-uncased,overall_experience,0.5945558739255015,0.6633234556644632,0.7871246956992156,0.7199406234537358,0.2172760996290408,0.5022003976641282,0.0050723703337675055,0.6458411507062898,0.5499999999999999,2910,410,1477,787
distilbert-base-uncased,workload,0.6776504297994269,0.8888888888888888,0.008820286659316428,0.017467248908296942,0.9994694960212201,0.5041448913402683,0.06848959662998687,0.7806999030290172,0.95,16,3768,2,1798
