approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.45451289398280803,0.09294755877034358,0.3232704402515723,0.14438202247191012,0.47629985383169765,0.399785147041635,-0.1400789785863497,0.32835726782222957,0.49999999999999994,257,2281,2508,538
bert-base-uncased,exam_fairness,0.8076647564469914,0.5625841184387618,0.3581833761782348,0.437696335078534,0.926420647498302,0.6423020118382684,0.3407047710285155,0.6004588341153397,0.85,418,4092,325,749
bert-base-uncased,lecturer_quality,0.6842765042979942,0.6354166666666666,0.42498838829540175,0.5093236849429447,0.8469833867677062,0.635985887531554,0.30259732904142594,0.28194636053244304,0.75,915,2906,525,1238
bert-base-uncased,materials,0.8884312320916905,0.29411764705882354,0.05163511187607573,0.08784773060029283,0.9856086348191085,0.5186218733475921,0.0849155213557713,0.34188668303941083,0.7999999999999999,30,4931,72,551
bert-base-uncased,organization,0.8173352435530086,0.21529745042492918,0.0927960927960928,0.1296928327645051,0.9418677859391396,0.5173319393676161,0.05039307354442931,0.6411382407826941,0.6,76,4488,277,743
bert-base-uncased,overall_experience,0.568230659025788,0.6541227229146692,0.7381660806058967,0.6936078281865549,0.23529411764705882,0.4867300991264778,-0.02888144056885519,0.45564090656712053,0.39999999999999997,2729,444,1443,968
bert-base-uncased,workload,0.6803366762177651,0.8536585365853658,0.019294377067254686,0.03773584905660377,0.9984084880636604,0.5088514325654576,0.09711101860896362,0.7621893282447543,0.65,35,3764,6,1779
