approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.4817956875220926,0.015572105619498984,0.6571428571428571,0.03042328042328042,0.47959914101646384,0.5683709990796605,0.030260113412925695,0.5415954300475753,0.5499999999999999,23,1340,1454,12
bert-base-uncased,assessment_design,0.8511841640155532,0.25396825396825395,0.4085106382978723,0.3132137030995106,0.8912875867386276,0.6498991125182499,0.24318143603737308,0.43796079677523875,0.44999999999999996,96,2312,282,139
bert-base-uncased,exam_fairness,0.9466242488511841,0.6122448979591837,0.4891304347826087,0.5438066465256798,0.9784499054820416,0.7337901701323252,0.5195052469239159,0.5774805092498556,0.65,90,2588,57,94
bert-base-uncased,grading_transparency,0.9512195121951219,0.7857142857142857,0.07534246575342465,0.1375,0.9988818486768543,0.5371121572151395,0.23400748106443583,0.2709649174728177,0.6,11,2680,3,135
bert-base-uncased,lecturer_quality,0.44998232591021564,0.9307065217391305,0.3127853881278539,0.46821599453178403,0.92018779342723,0.616486590777542,0.22205210561857097,0.272718479682004,0.7999999999999999,685,588,51,1505
bert-base-uncased,materials,0.8667373630258042,0.696969696969697,0.05897435897435897,0.10874704491725769,0.9958999589995899,0.5274371589869744,0.1761902150672526,0.6804190636814936,0.7,23,2429,10,367
bert-base-uncased,organization,0.8197242841993637,0.36585365853658536,0.09433962264150944,0.15,0.9668367346938775,0.5305881786676935,0.11231687467808346,0.19271397250187067,0.7,45,2274,78,432
bert-base-uncased,overall_experience,0.3075291622481442,0.20815986677768525,0.8976660682226212,0.33795201081446435,0.16285211267605634,0.5302590904493387,0.06722289121234755,0.4578989784721052,0.39999999999999997,500,370,1902,57
bert-base-uncased,workload,0.9777306468716861,0.875,0.18666666666666668,0.3076923076923077,0.9992737835875091,0.5929702251270879,0.3983287198145561,0.9094557060660529,0.65,14,2752,2,61
