approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.4832096147048427,0.016271186440677966,0.6857142857142857,0.031788079470198675,0.48067287043664997,0.5831935780754678,0.03681812600322485,0.4817957431854059,0.49999999999999994,24,1343,1451,11
distilbert-base-uncased,assessment_design,0.8582537999293036,0.22697368421052633,0.2936170212765957,0.2560296846011132,0.9094063222821896,0.6015116717793927,0.1809245119611288,0.2979242325191212,0.6,69,2359,235,166
distilbert-base-uncased,exam_fairness,0.9402615765288088,0.5401069518716578,0.5489130434782609,0.5444743935309974,0.9674858223062381,0.7581994328922494,0.5125306235844473,0.31471645190855396,0.7,101,2559,86,83
distilbert-base-uncased,grading_transparency,0.951926475786497,0.7777777777777778,0.0958904109589041,0.17073170731707318,0.998509131569139,0.5471997712640215,0.2626576041701061,0.51145507428529,0.9,14,2679,4,132
distilbert-base-uncased,lecturer_quality,0.49628844114528103,0.8717201166180758,0.4095890410958904,0.5573159366262814,0.7934272300469484,0.6015081355714194,0.17646533026366149,0.2674741085469853,0.65,897,507,132,1293
distilbert-base-uncased,materials,0.8642629904559915,0.5714285714285714,0.06153846153846154,0.1111111111111111,0.992619926199262,0.5270791938688617,0.15438702598140547,0.3847327809586811,0.65,24,2421,18,366
distilbert-base-uncased,organization,0.8331565924354896,0.5490196078431373,0.05870020964360587,0.10606060606060606,0.9902210884353742,0.52446064903949,0.1376653399570763,0.21676036529398907,0.85,28,2329,23,449
distilbert-base-uncased,overall_experience,0.5899611170024743,0.26014319809069214,0.5870736086175943,0.360529217199559,0.590669014084507,0.5888713113510506,0.14224251928690546,0.4788219796700847,0.5499999999999999,327,1342,930,230
distilbert-base-uncased,workload,0.9773771650759986,0.6896551724137931,0.26666666666666666,0.38461538461538464,0.9967320261437909,0.6316993464052287,0.42009566530645454,0.9179701963323168,0.65,20,2745,9,55
