approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.2999641833810888,0.13433536871770785,0.7194968553459119,0.22640015832178903,0.23031948214658593,0.4749081687462489,-0.04120915848878614,0.5744581148809903,0.49999999999999994,572,1103,3686,223
distilbert-base-uncased,exam_fairness,0.8044412607449857,0.537917087967644,0.45586975149957154,0.4935064935064935,0.8965361104822278,0.6762029309908997,0.37531968911946173,0.8145630461940107,0.5499999999999999,532,3960,457,635
distilbert-base-uncased,lecturer_quality,0.6586676217765043,0.6172839506172839,0.30190431955411057,0.4054897067997505,0.8825415330807345,0.5922229263174226,0.22950389027891308,0.4608531075113597,0.75,650,3028,403,1503
distilbert-base-uncased,materials,0.8784025787965616,0.25742574257425743,0.08950086058519793,0.13282247765006386,0.9700179892064761,0.529759424895837,0.09732184106969763,0.5022922666371764,0.6,52,4853,150,529
distilbert-base-uncased,organization,0.34652578796561606,0.12977498691784406,0.6056166056166056,0.21374703727644903,0.30199370409234,0.4538051548544728,-0.07033129615786402,0.6275580124094272,0.39999999999999997,496,1439,3326,323
distilbert-base-uncased,overall_experience,0.6337750716332379,0.6663980660757454,0.894779550987287,0.7638840780510334,0.12241653418124006,0.5085980425842636,0.025889790230735517,0.4224676260409418,0.3,3308,231,1656,389
distilbert-base-uncased,workload,0.6796203438395415,0.711864406779661,0.023153252480705624,0.044847837693539776,0.9954907161803713,0.5093219843305384,0.0853956077531409,0.6861124593817207,0.44999999999999996,42,3753,17,1772
