approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.014846235418875928,0.012402551381998583,1.0,0.024501225061253063,0.0025053686471009306,0.5012526843235504,0.005574312816528829,0.7718046723199742,0.25,35,7,2787,0
bert-base-uncased,assessment_design,0.36868151290208556,0.09588327253778009,0.7829787234042553,0.17084493964716807,0.33114880493446414,0.5570637641693598,0.06742968724637627,0.620462344493717,0.44999999999999996,184,859,1735,51
bert-base-uncased,exam_fairness,0.36726758571933543,0.08089770354906055,0.842391304347826,0.14761904761904762,0.3342155009451796,0.5883034026465028,0.09315282778215656,0.4537760951442645,0.39999999999999997,155,884,1761,29
bert-base-uncased,grading_transparency,0.40827147401908803,0.04360812425328554,0.5,0.08021978021978023,0.40327991054789414,0.45163995527394707,-0.043534617674966636,0.6939962917096811,0.49999999999999994,73,1082,1601,73
bert-base-uncased,lecturer_quality,0.3184870979144574,0.8411458333333334,0.14748858447488583,0.25097125097125095,0.9045383411580594,0.5260134628164727,0.06351782318208397,0.9629844737015881,0.65,323,578,61,1867
bert-base-uncased,materials,0.14103923647932132,0.13804116394606103,0.9974358974358974,0.24251870324189526,0.004100041000410004,0.5007679692181537,0.008508346640818764,0.460386994143799,0.3,389,10,2429,1
bert-base-uncased,organization,0.2880876634853305,0.1639702667249672,0.7861635220125787,0.27134587554269174,0.1870748299319728,0.4866191759722757,-0.025459975277921484,0.5198966614454985,0.5499999999999999,375,440,1912,102
bert-base-uncased,overall_experience,0.22021915871332626,0.19315221436546334,0.9317773788150808,0.3199753390875462,0.045774647887323945,0.4887760133512024,-0.04088188316900743,0.6092032691130059,0.35,519,104,2168,38
bert-base-uncased,workload,0.7511488158359845,0.04748201438848921,0.44,0.08571428571428572,0.7596223674655047,0.5998111837327523,0.07449586919107355,1.4872124569885659,0.44999999999999996,33,2092,662,42
