approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.6253092965712266,0.016052880075542966,0.4857142857142857,0.031078610603290677,0.6270579813886901,0.5563861335514879,0.025758165017031702,0.6455852673115099,0.49999999999999994,17,1752,1042,18
distilbert-base-uncased,assessment_design,0.9059738423471191,0.32967032967032966,0.1276595744680851,0.18404907975460122,0.9764841942945258,0.5520718843813055,0.1628976386488731,0.49745869521672526,0.7,30,2533,61,205
distilbert-base-uncased,exam_fairness,0.9505125486037469,0.6235955056179775,0.6032608695652174,0.6132596685082873,0.9746691871455576,0.7889650283553875,0.5869244022217914,0.49451203862957493,0.85,111,2578,67,73
distilbert-base-uncased,grading_transparency,0.9512195121951219,0.75,0.0821917808219178,0.14814814814814814,0.998509131569139,0.5403504561955284,0.23807859538701534,0.3803441021591425,0.75,12,2679,4,134
distilbert-base-uncased,lecturer_quality,0.4906327324142807,0.8696939782823297,0.40228310502283104,0.5501092725569778,0.7934272300469484,0.5978551675348898,0.17069610140621694,0.29699696591261954,0.65,881,507,132,1309
distilbert-base-uncased,materials,0.8642629904559915,0.6666666666666666,0.03076923076923077,0.058823529411764705,0.997539975399754,0.5141546030844923,0.12274370255466135,0.4688173946390937,0.85,12,2433,6,378
distilbert-base-uncased,organization,0.328384588193708,0.17849073655671036,0.8280922431865828,0.2936802973977695,0.22704081632653061,0.5275665297565567,0.05001599106323177,0.41698493813759907,0.44999999999999996,395,534,1818,82
distilbert-base-uncased,overall_experience,0.34287734181689644,0.209375,0.8420107719928187,0.3353593135502324,0.2205105633802817,0.5312606676865502,0.061231986615319145,0.3899622966564648,0.39999999999999997,469,501,1771,88
distilbert-base-uncased,workload,0.9763167196889361,0.75,0.16,0.26373626373626374,0.9985475671750181,0.579273783587509,0.3396466415791044,1.0067007504403591,0.7,12,2750,4,63
