approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.797,0.21710526315789475,0.28205128205128205,0.24535315985130113,0.8652321630804077,0.5736417225658449,0.13185830746410532,0.72799736532298,0.5499999999999999,33,764,119,84
distilbert-base-uncased,assessment_design,0.937,0.84375,0.3176470588235294,0.46153846153846156,0.994535519125683,0.6560912889746062,0.4946704920254987,0.6516817270053757,0.7999999999999999,27,910,5,58
distilbert-base-uncased,clarity,0.87,0.2153846153846154,0.15053763440860216,0.17721518987341772,0.9437706725468578,0.54715415347773,0.11110473872515632,0.9502123455916133,0.65,14,856,51,79
distilbert-base-uncased,difficulty,0.773,0.19095477386934673,0.36538461538461536,0.2508250825082508,0.8203125,0.5928485576923077,0.14198191703388938,0.6159493706532215,0.49999999999999994,38,735,161,66
distilbert-base-uncased,exam_fairness,0.921,0.7903225806451613,0.4260869565217391,0.5536723163841808,0.9853107344632769,0.7056988454925079,0.5442333375892756,0.3348492468512446,0.75,49,872,13,66
distilbert-base-uncased,feedback_quality,0.369,0.09200603318250378,0.6777777777777778,0.16201859229747675,0.3384615384615385,0.5081196581196581,0.009831911834339327,0.7098087505170251,0.44999999999999996,61,308,602,29
distilbert-base-uncased,grading_transparency,0.917,0.8235294117647058,0.26666666666666666,0.4028776978417266,0.9932960893854749,0.6299813780260708,0.4397332220922976,0.4822029985703661,0.7999999999999999,28,889,6,77
distilbert-base-uncased,interest,0.268,0.1021437578814628,0.801980198019802,0.18120805369127516,0.20800889877641823,0.5049945483981101,0.007429250256179644,0.5343671930879933,0.49999999999999994,81,187,712,20
distilbert-base-uncased,lecturer_quality,0.864,0.35772357723577236,0.43564356435643564,0.39285714285714285,0.9121245828698554,0.6738840736131455,0.3190641296344249,0.5947446436727081,0.7,44,820,79,57
distilbert-base-uncased,materials,0.918,0.7692307692307693,0.36363636363636365,0.49382716049382713,0.9865168539325843,0.675076608784474,0.4934505380573402,0.3189822045605979,0.7,40,878,12,70
distilbert-base-uncased,organization,0.919,0.6578947368421053,0.26881720430107525,0.3816793893129771,0.9856670341786108,0.627242119239843,0.38656868760336843,0.33794490452855824,0.65,25,894,13,68
distilbert-base-uncased,overall_experience,0.314,0.10298102981029811,0.76,0.18138424821002386,0.2644444444444444,0.5122222222222222,0.01667717935963324,0.724139512641761,0.39999999999999997,76,238,662,24
distilbert-base-uncased,pacing,0.908,0.4830508474576271,0.6477272727272727,0.5533980582524272,0.9331140350877193,0.790420653907496,0.5100596324688647,0.3500887426923503,0.65,57,851,61,31
distilbert-base-uncased,peer_interaction,0.886,0.509090909090909,0.24347826086956523,0.32941176470588235,0.9694915254237289,0.606484893146647,0.2980171805161129,0.5732549622189254,0.75,28,858,27,87
distilbert-base-uncased,practical_application,0.909,0.5555555555555556,0.2604166666666667,0.3546099290780142,0.9778761061946902,0.6191463864306784,0.3386279176542339,0.7645309430733324,0.7,25,884,20,71
distilbert-base-uncased,prerequisite_fit,0.877,0.3076923076923077,0.1553398058252427,0.2064516129032258,0.959866220735786,0.5576030132805143,0.15771906417239445,0.881132715701824,0.6,16,861,36,87
distilbert-base-uncased,relevance,0.92,0.625,0.06097560975609756,0.1111111111111111,0.9967320261437909,0.5288538179499442,0.17772999153992455,0.29548958986997603,0.7,5,915,3,77
distilbert-base-uncased,support,0.476,0.11090909090909092,0.6354166666666666,0.18885448916408668,0.459070796460177,0.5472437315634218,0.0559508152562486,0.697658815127263,0.44999999999999996,61,415,489,35
distilbert-base-uncased,tooling_usability,0.911,0.7391304347826086,0.3063063063063063,0.43312101910828027,0.9865016872890888,0.6464039967976976,0.43907852375867745,0.4473710782442461,0.9,34,877,12,77
distilbert-base-uncased,workload,0.948,0.6901408450704225,0.620253164556962,0.6533333333333333,0.9761129207383279,0.798183042647645,0.6263531516226142,0.27345152345619034,0.85,49,899,22,30
