approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.72,0.19215686274509805,0.3983739837398374,0.25925925925925924,0.7651083238312428,0.5817411537855401,0.12318983825620822,0.48521102035456165,0.49999999999999994,49,671,206,74
bert-base-uncased,assessment_design,0.901,0.5147058823529411,0.3465346534653465,0.41420118343195267,0.9632925472747497,0.6549136003700481,0.3708494706639922,0.43310385857309613,0.7,35,866,33,66
bert-base-uncased,clarity,0.646,0.1278409090909091,0.4891304347826087,0.20270270270270271,0.6618942731277533,0.575512353955181,0.09139575140306828,0.6942991750750581,0.6,45,601,307,47
bert-base-uncased,difficulty,0.869,0.2878787878787879,0.18446601941747573,0.22485207100591717,0.947603121516165,0.5660345704668204,0.16168539087725567,0.44859142572079835,0.6,19,850,47,84
bert-base-uncased,exam_fairness,0.939,0.9137931034482759,0.48623853211009177,0.6347305389221557,0.9943883277216611,0.7403134299158765,0.6407973255612825,0.39706146932165315,0.85,53,886,5,56
bert-base-uncased,feedback_quality,0.491,0.0975609756097561,0.65,0.16965742251223492,0.4771739130434783,0.5635869565217392,0.06915361643675731,0.6637776882394414,0.44999999999999996,52,439,481,28
bert-base-uncased,grading_transparency,0.905,0.7142857142857143,0.36885245901639346,0.4864864864864865,0.979498861047836,0.6741756600321147,0.4692503051760386,0.5001556072177158,0.6,45,860,18,77
bert-base-uncased,interest,0.435,0.11036789297658862,0.6666666666666666,0.18938307030129126,0.4095449500554939,0.5381058083610802,0.04642346460408304,0.6563005805170784,0.44999999999999996,66,369,532,33
bert-base-uncased,lecturer_quality,0.899,0.4931506849315068,0.36,0.4161849710982659,0.9588888888888889,0.6594444444444445,0.36775564251795045,0.2576452788846887,0.7999999999999999,36,863,37,64
bert-base-uncased,materials,0.928,0.7777777777777778,0.36082474226804123,0.49295774647887325,0.9889258028792912,0.6748752725736662,0.4993214232005087,0.14579410797450693,0.9,35,893,10,62
bert-base-uncased,organization,0.928,0.825,0.336734693877551,0.4782608695652174,0.9922394678492239,0.6644870808633875,0.49912863194204654,0.21565816976715613,0.7999999999999999,33,895,7,65
bert-base-uncased,overall_experience,0.339,0.11764705882352941,0.8431372549019608,0.2064825930372149,0.2817371937639198,0.5624372243329403,0.08522696232518108,0.6424790091648817,0.39999999999999997,86,253,645,16
bert-base-uncased,pacing,0.932,0.631578947368421,0.5454545454545454,0.5853658536585366,0.9692982456140351,0.7573763955342903,0.5502938808755022,0.29742608029725187,0.9,48,884,28,40
bert-base-uncased,peer_interaction,0.774,0.1778846153846154,0.40217391304347827,0.24666666666666667,0.8116740088105727,0.6069239609270255,0.15228166403429405,0.5832086788440073,0.44999999999999996,37,737,171,55
bert-base-uncased,practical_application,0.906,0.5384615384615384,0.21649484536082475,0.3088235294117647,0.9800664451827242,0.5982806452717745,0.3004925712129212,0.5366173522724282,0.7999999999999999,21,885,18,76
bert-base-uncased,prerequisite_fit,0.848,0.2235294117647059,0.18095238095238095,0.2,0.9262569832402234,0.5536046820963022,0.11784709400989286,0.8394014794183405,0.65,19,829,66,86
bert-base-uncased,relevance,0.819,0.20610687022900764,0.25961538461538464,0.2297872340425532,0.8839285714285714,0.571771978021978,0.12987036154471285,0.5109105860864036,0.6,27,792,104,77
bert-base-uncased,support,0.442,0.11186440677966102,0.66,0.19130434782608696,0.4177777777777778,0.538888888888889,0.04744154796279761,0.587875538714081,0.44999999999999996,66,376,524,34
bert-base-uncased,tooling_usability,0.924,0.56,0.34146341463414637,0.42424242424242425,0.9760348583877996,0.658749136510973,0.39968958284687056,0.4831815600794341,0.85,28,896,22,54
bert-base-uncased,workload,0.926,0.7692307692307693,0.5172413793103449,0.6185567010309279,0.9796380090497737,0.7484396941800593,0.5933259549352085,0.29376528761513326,0.85,60,866,18,56
