approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
distilbert-base-uncased,accessibility,0.6896429833863557,0.01718213058419244,0.42857142857142855,0.03303964757709251,0.6929133858267716,0.5607424071991001,0.029072184793110106,0.42480602600456524,0.5499999999999999,15,1936,858,20
distilbert-base-uncased,assessment_design,0.824673029338989,0.19861431870669746,0.3659574468085106,0.25748502994011974,0.8662297609868929,0.6160936038977017,0.17797944610724878,0.4166139044944768,0.49999999999999994,86,2247,347,149
distilbert-base-uncased,exam_fairness,0.943089430894309,0.5628415300546448,0.5597826086956522,0.5613079019073569,0.9697542533081286,0.7647684310018904,0.5308813667180142,0.44036139061148066,0.75,103,2565,80,81
distilbert-base-uncased,grading_transparency,0.9498055850123719,0.75,0.0410958904109589,0.07792207792207792,0.9992545657845695,0.5201752280977642,0.16810811437016226,0.3826433339466651,0.7999999999999999,6,2681,2,140
distilbert-base-uncased,lecturer_quality,0.663485330505479,0.8746973365617433,0.6598173515981736,0.7522123893805309,0.676056338028169,0.6679368448131713,0.2849411801354206,0.3635370298775736,0.6,1445,432,207,745
distilbert-base-uncased,materials,0.8628490632732414,0.6666666666666666,0.010256410256410256,0.020202020202020204,0.999179991799918,0.5047182010281641,0.07071533058360886,0.48839288065209985,0.9,4,2437,2,386
distilbert-base-uncased,organization,0.8271474019088016,0.3235294117647059,0.023060796645702306,0.043052837573385516,0.9902210884353742,0.5066409425405383,0.04563596116229117,0.20639986368107863,0.7,11,2329,23,466
distilbert-base-uncased,overall_experience,0.3297985153764581,0.21104876996115668,0.8779174147217235,0.34029227557411273,0.1954225352112676,0.5366699749664955,0.07574855854664964,0.4478274657693834,0.44999999999999996,489,444,1828,68
distilbert-base-uncased,workload,0.9773771650759986,0.8666666666666667,0.17333333333333334,0.28888888888888886,0.9992737835875091,0.5863035584604213,0.38182435088870015,0.709346156186047,0.85,13,2752,2,62
