real_train_n,requested,seed,n_real_train,micro_f1
100,100,17,100,0.6246
100,100,42,100,0.5422
250,250,17,250,0.624
250,250,42,250,0.6535
500,500,17,500,0.6933
500,500,42,500,0.6996
1000,1000,17,1000,0.7353
1000,1000,42,1000,0.7456
1980,full,17,1980,0.7765
1980,full,42,1980,0.7645
