grade,n_reviews,micro_f1,micro_precision,micro_recall
B (Good),120,0.6763485477178424,0.6820083682008368,0.6707818930041153
D (Barely passed),120,0.646551724137931,0.684931506849315,0.6122448979591837
A (Excellent),122,0.6004319654427646,0.6747572815533981,0.5408560311284046
C (Average),106,0.5789473684210527,0.6395348837209303,0.5288461538461539
F (Failed),131,0.5742574257425742,0.5991735537190083,0.5513307984790875
