seed,n_train,n_calib,n_test,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,sentiment_mse_detected,sentiment_mae_detected,sentiment_polarity_accuracy
7,4787,598,599,0.6558441558441559,0.5814144736842105,0.6163905841325196,0.7114164841481874,0.5800095811200497,0.6230053683187502,0.4269850460055952,0.5323486936458527,0.5176803394625177
42,4787,598,599,0.6642636457260556,0.5379482902418682,0.5944700460829493,0.7091059782864392,0.5383503895764207,0.5977321763143786,0.4005460062994042,0.5139348216620858,0.5488372093023256
123,4787,598,599,0.6094459582198002,0.5582362728785357,0.5827181936604429,0.6884166380493237,0.5567165756901644,0.5935694434742352,0.4712497254082549,0.5503421240817179,0.4977645305514158
