aspect,n_eval,mse,mae,polarity_accuracy
lecturer_quality,66,0.20706263323527802,0.36280610950813647,0.696969696969697
overall_experience,50,0.30522768605451217,0.4125178668444726,0.66
support,53,0.30788999044642784,0.4675753553783578,0.5283018867924528
exam_fairness,72,0.3201179010466143,0.4518399582334771,0.5833333333333334
materials,84,0.345958637635758,0.49194626757293464,0.5476190476190477
clarity,62,0.3550346438288001,0.48205143439335607,0.6612903225806451
difficulty,60,0.4219354743220492,0.5583964455045375,0.5
workload,66,0.5302535585180972,0.6028640637052072,0.4393939393939394
interest,54,0.5690625590770989,0.6266250165693449,0.46296296296296297
relevance,78,0.6146549052227542,0.6572006581582853,0.4358974358974359
