style,count
Analytic but Simple (Explains 'why' but uses simple language),1049
"Confused Student (Unsure about things, asks rhetorical questions)",1023
"Rant/Rave (Emotional, very subjective, lots of punctuation !!! or ...)",1008
Simple & Direct (Use only common words. No academic jargon. Like talking to a friend),987
Short (Max 10-15 words. Fragments allowed),961
"Casual (Texting style: lowercase, no punctuation, slang like 'tbh', 'idk', 'tho', fragments)",956
