grade,n_reviews,micro_f1,micro_precision,micro_recall
B (Good),102,0.6368715083798883,0.6909090909090909,0.5906735751295337
C (Average),113,0.6262135922330098,0.6789473684210526,0.581081081081081
A (Excellent),129,0.6043478260869565,0.695,0.5346153846153846
F (Failed),131,0.5766129032258065,0.6589861751152074,0.5125448028673835
D (Barely passed),124,0.5405405405405406,0.6030150753768844,0.4897959183673469
