aspect,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn,n_true
workload,0.9215358931552587,0.9019607843137255,0.7131782945736435,0.7965367965367965,0.5499999999999999,92,460,10,37,129
materials,0.9248747913188647,0.9032258064516129,0.7,0.7887323943661971,0.5499999999999999,84,470,9,36,120
exam_fairness,0.9165275459098498,0.9838709677419355,0.5545454545454546,0.7093023255813954,0.5499999999999999,61,488,1,49,110
clarity,0.8731218697829716,0.8809523809523809,0.5285714285714286,0.6607142857142857,0.65,74,449,10,66,140
overall_experience,0.8347245409015025,0.5821917808219178,0.6910569105691057,0.6319702602230484,0.49999999999999994,85,415,61,38,123
support,0.8781302170283807,0.9253731343283582,0.47692307692307695,0.6294416243654822,0.65,62,464,5,68,130
relevance,0.7813021702838063,0.47953216374269003,0.6612903225806451,0.5559322033898305,0.44999999999999996,82,386,89,42,124
lecturer_quality,0.8313856427378965,0.5625,0.4778761061946903,0.5167464114832536,0.6,54,444,42,59,113
difficulty,0.8196994991652755,0.5,0.5092592592592593,0.5045871559633027,0.5499999999999999,55,436,55,53,108
interest,0.7495826377295493,0.3945578231292517,0.48739495798319327,0.43609022556390975,0.49999999999999994,58,391,89,61,119
