approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.14272922636103152,0.14242207094231457,1.0,0.2493335424180649,0.00041762372102735435,0.5002088118605137,0.0077122522795452725,0.5453634907427074,0.25,795,2,4787,0
bert-base-uncased,exam_fairness,0.20970630372492838,0.2090354965937612,0.9991431019708654,0.34573758339510746,0.0011319900384876612,0.5001375460046765,0.003413989829888981,0.9093277480969694,0.44999999999999996,1166,5,4412,1
bert-base-uncased,lecturer_quality,0.42174068767908307,0.3993640104751216,0.9916395726892708,0.5694092545672756,0.06412124744972311,0.5278804100694969,0.13435646569342619,1.1177761107471618,0.44999999999999996,2135,220,3211,18
bert-base-uncased,materials,0.12303008595988539,0.10447214076246335,0.9810671256454389,0.18883551432830875,0.02338596841894863,0.5022265470321937,0.009084960031000722,0.8320410880305101,0.44999999999999996,570,117,4886,11
bert-base-uncased,organization,0.7757879656160458,0.12991452991452992,0.0927960927960928,0.10826210826210826,0.8931794333683106,0.4929877630822017,-0.01620094988141252,1.5002982116451389,0.6,76,4256,509,743
bert-base-uncased,overall_experience,0.6622492836676218,0.662188787390292,1.0,0.7967672413793103,0.0005299417064122947,0.5002649708532061,0.01873289769247405,0.7726685443917258,0.35,3697,1,1886,0
bert-base-uncased,workload,0.6742478510028653,0.46835443037974683,0.020396912899669238,0.03909138932910724,0.9888594164456234,0.5046281646726463,0.03670590259654232,0.9999627665037641,0.49999999999999994,37,3728,42,1777
