approach,seed,split,micro_f1,macro_f1,micro_recall,sentiment_mse
tfidf_two_step,42,internal_synthetic_test,0.3605220228384992,0.3988152634552449,0.48148148148148145,0.6453324385974243
tfidf_two_step,42,external_real_herath,0.3864581271035439,0.2461192316754041,0.4551177430636512,0.7021139371780412
tfidf_two_step,17,internal_synthetic_test,0.33066666666666666,0.36913888344836576,0.4737991266375546,0.6609499951678655
tfidf_two_step,17,external_real_herath,0.32765036780614454,0.22580489568993484,0.44136162275588714,0.6671446498062854
tfidf_two_step,23,internal_synthetic_test,0.3385281385281385,0.37013873416993504,0.4236186348862405,0.6339231669396174
tfidf_two_step,23,external_real_herath,0.4114065354170895,0.229851937486664,0.4726043366752157,0.7271378100865016
tfidf_two_step,41,internal_synthetic_test,0.3466459868165956,0.36070923387779286,0.48220064724919093,0.7038916664783089
tfidf_two_step,41,external_real_herath,0.2805607293402608,0.2107571577068571,0.33364420610865003,0.6675905853477417
tfidf_two_step,89,internal_synthetic_test,0.3548094373865699,0.3811757259472117,0.4383408071748879,0.6837721093081842
tfidf_two_step,89,external_real_herath,0.3940464717849877,0.19834474268797703,0.42900442993704824,0.6924587703375925
distilbert-base-uncased,42,internal_synthetic_test,0.4081272084805654,0.4676449565400853,0.5032679738562091,0.48436947978201605
distilbert-base-uncased,42,external_real_herath,0.2734906037584966,0.2787804445349984,0.31895546747493586,0.42296772321583054
distilbert-base-uncased,17,internal_synthetic_test,0.38862102217936356,0.42827917201250837,0.43995633187772926,0.5020812097821997
distilbert-base-uncased,17,external_real_herath,0.2822249589490969,0.21872705275872406,0.32058754954534857,0.4391740165754829
distilbert-base-uncased,23,internal_synthetic_test,0.38845822566752797,0.43615202926089247,0.4886240520043337,0.5259199457158231
distilbert-base-uncased,23,external_real_herath,0.22344110854503466,0.2364484935698244,0.27069246910701794,0.34740427160093135
distilbert-base-uncased,41,internal_synthetic_test,0.41002949852507375,0.43502409502187406,0.44983818770226536,0.5045408821807722
distilbert-base-uncased,41,external_real_herath,0.4150365307565402,0.2860299301703454,0.4105852179995337,0.3626381171494289
distilbert-base-uncased,89,internal_synthetic_test,0.3988212180746562,0.43476527764548467,0.4551569506726457,0.4830116400741136
distilbert-base-uncased,89,external_real_herath,0.41619371925841847,0.2994331151093077,0.3847050594544183,0.4464070838979623
bert-base-uncased,42,internal_synthetic_test,0.4183070866141732,0.4636414980133807,0.46296296296296297,0.41103511334399895
bert-base-uncased,42,external_real_herath,0.4029887920298879,0.2555660535795603,0.3772441128468174,0.34027772791524075
bert-base-uncased,17,internal_synthetic_test,0.3806672369546621,0.42467469779810874,0.48580786026200873,0.47543478538579387
bert-base-uncased,17,external_real_herath,0.38749672574871213,0.24643196693008487,0.5173700163208207,0.30954650490500407
bert-base-uncased,23,internal_synthetic_test,0.40993132593766507,0.4425851807193512,0.42036836403033584,0.4741061661050799
bert-base-uncased,23,external_real_herath,0.29649368863955117,0.2437201890722256,0.2464443926323152,0.32505810801822754
bert-base-uncased,41,internal_synthetic_test,0.430416068866571,0.450662089374247,0.4854368932038835,0.4786713344582722
bert-base-uncased,41,external_real_herath,0.40537488708220415,0.3007113340178472,0.4185124737701096,0.3527328285636695
bert-base-uncased,89,internal_synthetic_test,0.4036791006642821,0.4313872715361811,0.4428251121076233,0.4559539547713899
bert-base-uncased,89,external_real_herath,0.5163487738419619,0.2894662391071507,0.4418279319188622,0.44255897769760294
