approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.7917263610315186,0.03768844221105527,0.018867924528301886,0.025146689019279127,0.9200250574232617,0.4694464909757818,-0.0829925830586836,0.4777658760547638,0.6,15,4406,383,780
bert-base-uncased,exam_fairness,0.8099928366762178,0.556745182012848,0.44558697514995715,0.49500237981913375,0.9062712248132216,0.6759290999815895,0.38332477523213454,0.5924129961767624,0.7,520,4003,414,647
bert-base-uncased,lecturer_quality,0.6715616045845272,0.6151624548736462,0.3957268927078495,0.4816280384397965,0.8446517050422617,0.6201892988750556,0.2709133130042569,0.24954696127052908,0.6,852,2898,533,1301
bert-base-uncased,materials,0.8866404011461319,0.27586206896551724,0.055077452667814115,0.09182209469153516,0.9832100739556267,0.5191437633117204,0.08196291240517659,0.6026775969303344,0.6,32,4919,84,549
bert-base-uncased,organization,0.8368553008595988,0.14615384615384616,0.0231990231990232,0.040042149631190724,0.9767051416579223,0.4999520824284728,-0.0002248376077924009,0.5708526661129374,0.75,19,4654,111,800
bert-base-uncased,overall_experience,0.6133595988538681,0.6746933212176284,0.8033540708682716,0.7334238794912952,0.24112347641759407,0.5222387736429328,0.051501247392701156,0.4375627254377616,0.44999999999999996,2970,455,1432,727
bert-base-uncased,workload,0.6781876790830945,0.9047619047619048,0.010474090407938258,0.020708446866485014,0.9994694960212201,0.5049717932145792,0.07607959501031067,0.6088058529421687,0.65,19,3768,2,1795
