arm,n_train,internal_micro_f1,internal_sentiment_mse,herath_micro_f1,herath_sentiment_mse,row_score_min,row_score_mean,row_score_max
full,5495,0.3880037488284911,0.45512906721254953,0.3309438470728793,0.34584507096269784,,,
Q1,1373,0.2766595289079229,0.752633322899366,0.22832938328879027,0.6231237561624209,0.0,0.08836212672978878,0.3333
Q2,1373,0.3408333333333333,0.6558065009431121,0.2923554585885709,0.45124960448446244,0.3333,0.45398448652585577,0.5
Q3,1373,0.3844328429046037,0.6216621334797956,0.2925075388540942,0.5389940237012324,0.5,0.7834617625637289,1.0
Q4,1373,0.3805567095970087,0.5615213434036525,0.5093243656374198,0.3376769519785806,1.0,1.0,1.0
