arm,n_train,internal_micro_f1,internal_sentiment_mse,herath_micro_f1,herath_sentiment_mse,row_score_min,row_score_mean,row_score_max
full,5495,0.4183070866141732,0.39905513080240995,0.4029887920298879,0.36965681539251877,,,
Q1,1373,0.28544378698224854,0.7435854449101378,0.24655302080721986,0.6796670139801976,0.0,0.08593459577567371,0.3333
Q2,1373,0.3347107438016529,0.6773920798613339,0.2833864158210503,0.5928387103733311,0.3333,0.4496136198106337,0.5
Q3,1373,0.3828470380194518,0.5285027662878844,0.37530072173215717,0.5505031938162822,0.5,0.770230080116533,1.0
Q4,1373,0.4106596767147226,0.5284910888452986,0.27645245976486704,0.39851087229291265,1.0,1.0,1.0
