approach,aspect,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,mse,threshold,tp,tn,fp,fn
bert-base-uncased,accessibility,0.9876325088339223,0.5,0.42857142857142855,0.46153846153846156,0.9946332737030411,0.7116023511372348,0.4567050037022837,1.0791694819927216,0.7,3,556,3,4
bert-base-uncased,assessment_design,0.9540636042402827,0.8,0.6792452830188679,0.7346938775510204,0.9824561403508771,0.8308507116848725,0.712579899635903,0.43251655816250906,0.9,36,504,9,17
bert-base-uncased,exam_fairness,0.9681978798586572,0.75,0.7058823529411765,0.7272727272727273,0.9849624060150376,0.8454223794781071,0.7107716943199447,0.21622722330721444,0.6,24,524,8,10
bert-base-uncased,grading_transparency,0.9575971731448764,0.6052631578947368,0.71875,0.6571428571428571,0.9719101123595506,0.8453300561797753,0.6373841111034163,0.12465051790375424,0.39999999999999997,23,519,15,9
bert-base-uncased,lecturer_quality,0.8374558303886925,0.8968609865470852,0.8968609865470852,0.8968609865470852,0.6166666666666667,0.7567638266068759,0.5135276532137518,0.27230115075596417,0.49999999999999994,400,74,46,46
bert-base-uncased,materials,0.9169611307420494,0.7162162162162162,0.6708860759493671,0.6928104575163399,0.9568788501026694,0.8138824630260182,0.6453222844031732,0.23670291376216687,0.6,53,466,21,26
bert-base-uncased,organization,0.8816254416961131,0.6339285714285714,0.7319587628865979,0.6794258373205742,0.9125799573560768,0.8222693601213373,0.6096553133247105,0.29187311799308535,0.6,71,428,41,26
bert-base-uncased,overall_experience,0.8604240282685512,0.6837606837606838,0.6557377049180327,0.6694560669456067,0.9166666666666666,0.7862021857923497,0.5812436762402398,0.23358751111817355,0.7,80,407,37,42
bert-base-uncased,workload,0.9823321554770318,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.9945945945945946,0.6791154791154792,0.4474567098549885,0.17509297520155087,0.7999999999999999,4,552,3,7
