train_gen,test_gen,micro_f1,micro_precision,micro_recall,n_rows
gpt,gpt_indomain_testsplit,0.2771571960498624,0.20414977343191032,0.4314516129032258,1000
gpt,gpt5nano,0.38907103825136613,0.2966666666666667,0.5650793650793651,150
gpt,gemini_flash,0.24609375,0.1777150916784203,0.4,150
gpt,glm_46,0.34214186369958277,0.26282051282051283,0.4900398406374502,119
gpt,llama33_70b,0.3285123966942149,0.2434915773353752,0.5047619047619047,150
gemini_flash,gpt_testsplit,0.17987295218990304,0.10111514847763438,0.813508064516129,1000
glm_46,gpt_testsplit,0.1784037558685446,0.09867751780264497,0.9289314516129032,1000
llama33_70b,gpt_testsplit,0.18186332936034963,0.10087042750110181,0.922883064516129,1000
