train_gen,test_gen,micro_f1,micro_precision,micro_recall,n_rows
gpt,gpt_indomain_testsplit,0.2796092796092796,0.2018065653227583,0.4550422255340288,1000
gpt,gpt5nano,0.39704329461457233,0.2974683544303797,0.5968253968253968,150
gpt,gemini_flash,0.2387218045112782,0.16955941255006676,0.4031746031746032,150
gpt,glm_46,0.32564102564102565,0.24007561436672967,0.5059760956175299,119
gpt,llama33_70b,0.3206997084548105,0.23109243697478993,0.5238095238095238,150
gemini_flash,gpt_testsplit,0.1837015869775986,0.10236578707916287,0.8941877794336811,1000
glm_46,gpt_testsplit,0.18239722061378114,0.10101010101010101,0.9388971684053651,1000
llama33_70b,gpt_testsplit,0.18305084745762712,0.10226080876354737,0.8718330849478391,1000
