train_gen,test_gen,micro_f1,micro_precision,micro_recall,n_rows
gpt,gpt_indomain_testsplit,0.2728391264226392,0.19790272199910755,0.4391089108910891,1000
gpt,gpt5nano,0.34237995824634654,0.25505443234836706,0.5206349206349207,150
gpt,gemini_flash,0.2144927536231884,0.15416666666666667,0.3523809523809524,150
gpt,glm_46,0.29591836734693877,0.2176360225140713,0.46215139442231074,119
gpt,llama33_70b,0.3053722902921772,0.21715817694369974,0.5142857142857142,150
gemini_flash,gpt_testsplit,0.18241779877928727,0.10127896808045475,0.9173267326732674,1000
glm_46,gpt_testsplit,0.1796580057739285,0.10117558779389695,0.800990099009901,1000
llama33_70b,gpt_testsplit,0.18360655737704917,0.10110330992978937,0.998019801980198,1000
