approach,model,variant,run_dir,n_rows,parse_fail_count,parse_success_rate,raw_nonempty_rate,exact_match_rows,miss_only_rows,extra_only_rows,both_miss_and_extra_rows,rows_with_any_miss,rows_with_any_extra,gold_total_aspects,pred_total_aspects,false_negative_total,false_positive_total,mean_gold_aspects_per_row,mean_pred_aspects_per_row,pred_minus_gold_aspects_per_row,correct_sentiment_given_tp_total,wrong_sentiment_given_tp_total,sentiment_match_rate_given_tp,invalid_predicted_name_count,response_statuses
openai-gpt-5.2-few-shot,gpt-5.2,few-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260403T120156Z,1000,0,1.0,1.0,5,0,133,862,862,995,2013,2991,1400,2378,2.013,2.991,0.978,407,206,0.6639477977161501,0,"{"""": 1000}"
openai-gpt-5.2-few-shot-diverse,gpt-5.2,few-shot-diverse,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260403T120156Z,1000,0,1.0,1.0,5,0,131,864,864,995,2013,2982,1420,2389,2.013,2.982,0.969,395,198,0.6661045531197302,0,"{"""": 1000}"
openai-gpt-5.2-retrieval-few-shot,gpt-5.2,retrieval-few-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260403T120156Z,1000,0,1.0,1.0,0,0,133,867,867,1000,2013,2977,1389,2353,2.013,2.977,0.964,409,215,0.655448717948718,0,"{"""": 1000}"
openai-gpt-5.2-zero-shot,gpt-5.2,zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260403T120156Z,1000,0,1.0,1.0,4,0,140,856,856,996,2013,2996,1382,2365,2.013,2.996,0.983,418,213,0.6624405705229794,0,"{"""": 1000}"
openai-gpt-5.4-zero-shot,gpt-5.4,zero-shot,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T101941Z,1000,28,0.972,0.997,6,28,127,839,867,966,2013,2888,1408,2283,2.013,2.888,0.875,411,194,0.6793388429752066,0,"{"""": 1000}"
openai-gpt-5.4-zero-shot-glossary,gpt-5.4,zero-shot-glossary,E:\Projects\CourseABSA\paper\benchmark_outputs\runs\openai_batch_eval_20260404T114527Z,1000,42,0.958,0.988,6,42,125,827,869,952,2013,2821,1426,2234,2.013,2.821,0.808,399,188,0.6797274275979557,0,"{"""": 1000}"
