approach,confusion_regularized,none_20_aspects,pedagogical
albert-base-v2,0.5281130409184575,0.18289192749738792,0.5307081986482516
bert-base-uncased,0.49824397096698664,0.2779777206512425,0.5109717868338558
bert_joint,0.526721975689755,0.24471872774744838,0.523598820058997
distilbert-base-uncased,0.5020242914979757,0.26904761904761904,0.5188084366166558
distilbert_joint,0.5248337895971842,0.252424604756211,0.5124120044460911
openai-gpt-5.4-zero-shot,0.5129571324775974,0.2468883901244644,0.48503274087932646
roberta-base,0.5281130409184575,0.18289192749738792,0.5307081986482516
tfidf_two_step,0.5112431056427662,0.24412128712871287,0.4991008991008991
