approach,negative_gold,negative_detected,negative_missed,negative_recall,negative_miss_rate,negative_sentiment_match_rate_given_detected,negative_sentiment_mismatch_rate_given_detected,neutral_gold,neutral_detected,neutral_missed,neutral_recall,neutral_miss_rate,neutral_sentiment_match_rate_given_detected,neutral_sentiment_mismatch_rate_given_detected,positive_gold,positive_detected,positive_missed,positive_recall,positive_miss_rate,positive_sentiment_match_rate_given_detected,positive_sentiment_mismatch_rate_given_detected
albert-base-v2,652,652,0,1.0,0.0,0.0,1.0,651,651,0,1.0,0.0,1.0,0.0,710,710,0,1.0,0.0,0.0,1.0
bert-base-uncased,675,308,367,0.4562962962962963,0.5437037037037037,0.0,1.0,629,164,465,0.26073131955484896,0.739268680445151,1.0,0.0,680,339,341,0.4985294117647059,0.5014705882352941,0.0,1.0
bert_joint,652,379,273,0.5812883435582822,0.4187116564417178,0.0,1.0,651,237,414,0.3640552995391705,0.6359447004608295,1.0,0.0,710,415,295,0.5845070422535211,0.4154929577464789,0.0,1.0
distilbert-base-uncased,675,297,378,0.44,0.56,0.0,1.0,629,176,453,0.27980922098569155,0.7201907790143084,1.0,0.0,680,318,362,0.4676470588235294,0.5323529411764706,0.0,1.0
distilbert_joint,652,349,303,0.5352760736196319,0.4647239263803681,0.0,1.0,651,219,432,0.33640552995391704,0.663594470046083,1.0,0.0,710,382,328,0.5380281690140845,0.4619718309859155,0.0,1.0
openai-gpt-5.4-zero-shot,652,246,406,0.3773006134969325,0.6226993865030674,0.8739837398373984,0.12601626016260162,651,104,547,0.1597542242703533,0.8402457757296466,0.04807692307692308,0.9519230769230769,710,255,455,0.3591549295774648,0.6408450704225352,0.7490196078431373,0.25098039215686274
openai-gpt-5.4-zero-shot-glossary,652,231,421,0.35429447852760737,0.6457055214723927,0.9004329004329005,0.09956709956709957,651,102,549,0.15668202764976957,0.8433179723502304,0.058823529411764705,0.9411764705882353,710,254,456,0.35774647887323946,0.6422535211267606,0.7283464566929134,0.27165354330708663
roberta-base,652,652,0,1.0,0.0,0.0,1.0,651,651,0,1.0,0.0,1.0,0.0,710,710,0,1.0,0.0,0.0,1.0
tfidf_two_step,675,303,372,0.4488888888888889,0.5511111111111111,0.0,1.0,629,176,453,0.27980922098569155,0.7201907790143084,1.0,0.0,680,310,370,0.45588235294117646,0.5441176470588235,0.0064516129032258064,0.9935483870967742
