approach,micro_precision,micro_recall,micro_f1,macro_f1,parse_success_rate,sentiment_mse_detected
openai-gpt-5.4-zero-shot,0.20948753462603878,0.3005464480874317,0.2468883901244644,0.23641566551889653,0.972,0.7322314049586777
openai-gpt-5.4-zero-shot-glossary,0.20808224034030487,0.2916045702930949,0.2428630533719487,0.2366458880194014,0.958,0.7086882453151618
bert-base-uncased,0.2011820868379177,0.4396423248882265,0.2760449157829071,0.3364102134121658,n/a,0.4959223332727149
