approach,aspect,polarity,gold,detected,missed,recall,miss_rate,sentiment_match_rate_given_detected,sentiment_mismatch_rate_given_detected
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,neutral,27,2,25,0.07407407407407407,0.9259259259259259,0.5,0.5
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,positive,39,11,28,0.28205128205128205,0.717948717948718,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,materials,negative,33,14,19,0.42424242424242425,0.5757575757575758,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,materials,neutral,28,0,28,0.0,1.0,,
openai-gpt-5.4-zero-shot-glossary,materials,positive,33,7,26,0.21212121212121213,0.7878787878787878,0.8571428571428571,0.14285714285714285
openai-gpt-5.4-zero-shot-glossary,organization,negative,39,16,23,0.41025641025641024,0.5897435897435898,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,organization,neutral,32,5,27,0.15625,0.84375,0.0,1.0
openai-gpt-5.4-zero-shot-glossary,organization,positive,35,12,23,0.34285714285714286,0.6571428571428571,0.75,0.25
openai-gpt-5.4-zero-shot-glossary,overall_experience,negative,43,0,43,0.0,1.0,,
openai-gpt-5.4-zero-shot-glossary,overall_experience,neutral,38,0,38,0.0,1.0,,
openai-gpt-5.4-zero-shot-glossary,overall_experience,positive,36,1,35,0.027777777777777776,0.9722222222222222,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,pacing,negative,29,25,4,0.8620689655172413,0.13793103448275862,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,pacing,neutral,35,14,21,0.4,0.6,0.07142857142857142,0.9285714285714286
openai-gpt-5.4-zero-shot-glossary,pacing,positive,42,28,14,0.6666666666666666,0.3333333333333333,0.6785714285714286,0.32142857142857145
openai-gpt-5.4-zero-shot-glossary,peer_interaction,negative,31,4,27,0.12903225806451613,0.8709677419354839,0.75,0.25
openai-gpt-5.4-zero-shot-glossary,peer_interaction,neutral,36,5,31,0.1388888888888889,0.8611111111111112,0.0,1.0
openai-gpt-5.4-zero-shot-glossary,peer_interaction,positive,40,9,31,0.225,0.775,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,practical_application,negative,28,6,22,0.21428571428571427,0.7857142857142857,0.6666666666666666,0.3333333333333333
openai-gpt-5.4-zero-shot-glossary,practical_application,neutral,34,1,33,0.029411764705882353,0.9705882352941176,0.0,1.0
openai-gpt-5.4-zero-shot-glossary,practical_application,positive,34,11,23,0.3235294117647059,0.6764705882352942,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,negative,32,10,22,0.3125,0.6875,0.9,0.1
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,neutral,31,2,29,0.06451612903225806,0.9354838709677419,0.0,1.0
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,positive,34,15,19,0.4411764705882353,0.5588235294117647,0.8,0.2
openai-gpt-5.4-zero-shot-glossary,relevance,negative,30,4,26,0.13333333333333333,0.8666666666666667,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,relevance,neutral,41,3,38,0.07317073170731707,0.926829268292683,0.0,1.0
openai-gpt-5.4-zero-shot-glossary,relevance,positive,34,7,27,0.20588235294117646,0.7941176470588235,1.0,0.0
openai-gpt-5.4-zero-shot-glossary,support,negative,41,9,32,0.21951219512195122,0.7804878048780488,0.4444444444444444,0.5555555555555556
openai-gpt-5.4-zero-shot-glossary,support,neutral,26,8,18,0.3076923076923077,0.6923076923076923,0.125,0.875
openai-gpt-5.4-zero-shot-glossary,support,positive,29,15,14,0.5172413793103449,0.4827586206896552,0.6666666666666666,0.3333333333333333
openai-gpt-5.4-zero-shot-glossary,tooling_usability,negative,40,28,12,0.7,0.3,0.9285714285714286,0.07142857142857142
openai-gpt-5.4-zero-shot-glossary,tooling_usability,neutral,33,11,22,0.3333333333333333,0.6666666666666666,0.09090909090909091,0.9090909090909091
