arch,target,contrast,metric,n_seeds,mean_delta,ci_lo,ci_hi,wins,excludes_zero
distilbert-base-uncased,herath,bot25 - full,macro_f1,8,-0.0119,-0.0497,0.0175,5/8,no
distilbert-base-uncased,herath,bot25 - full,micro_f1,8,-0.0125,-0.1087,0.0703,5/8,no
distilbert-base-uncased,herath,top25 - full,sentiment_mse_detected,8,-0.0014,-0.0404,0.0361,4/8,no
distilbert-base-uncased,herath,top25 - full,macro_balanced_accuracy,8,-0.0209,-0.0311,-0.0087,1/8,YES
distilbert-base-uncased,herath,top25 - full,macro_f1,8,-0.0389,-0.0615,-0.0179,0/8,YES
distilbert-base-uncased,herath,top25 - full,micro_f1,8,-0.0016,-0.0948,0.0708,4/8,no
distilbert-base-uncased,herath,random_5k - full,sentiment_mse_detected,8,0.0222,-0.038,0.0986,5/8,no
distilbert-base-uncased,herath,random_5k - full,macro_balanced_accuracy,8,-0.001,-0.0162,0.0129,3/8,no
distilbert-base-uncased,herath,random_5k - full,macro_f1,8,-0.0065,-0.0406,0.0231,5/8,no
distilbert-base-uncased,herath,random_5k - full,micro_f1,8,0.0577,-0.059,0.1451,6/8,no
distilbert-base-uncased,edurabsa,top50 - random_5k,sentiment_mse_detected,8,-0.028,-0.1021,0.0424,3/8,no
distilbert-base-uncased,edurabsa,top50 - random_5k,macro_balanced_accuracy,8,-0.006,-0.0104,-0.0011,2/8,YES
distilbert-base-uncased,edurabsa,top50 - random_5k,macro_f1,8,0.0005,-0.0222,0.0227,5/8,no
distilbert-base-uncased,edurabsa,top50 - random_5k,micro_f1,8,-0.0112,-0.0612,0.0379,4/8,no
distilbert-base-uncased,edurabsa,top50 - full,sentiment_mse_detected,8,0.0359,-0.0235,0.0993,3/8,no
distilbert-base-uncased,edurabsa,top50 - full,macro_balanced_accuracy,8,-0.0058,-0.0113,0.0014,2/8,no
distilbert-base-uncased,edurabsa,top50 - full,macro_f1,8,-0.0011,-0.0096,0.0067,5/8,no
distilbert-base-uncased,edurabsa,top50 - full,micro_f1,8,-0.0182,-0.035,-0.0001,2/8,YES
distilbert-base-uncased,edurabsa,bot25 - full,sentiment_mse_detected,8,0.3707,0.3283,0.4106,0/8,YES
distilbert-base-uncased,edurabsa,bot25 - full,macro_balanced_accuracy,8,-0.0321,-0.0396,-0.0236,0/8,YES
distilbert-base-uncased,edurabsa,bot25 - full,macro_f1,8,0.0329,0.0091,0.0535,7/8,YES
distilbert-base-uncased,edurabsa,bot25 - full,micro_f1,8,-0.0318,-0.068,0.0023,3/8,no
distilbert-base-uncased,edurabsa,top25 - full,sentiment_mse_detected,8,0.1113,0.0558,0.1789,0/8,YES
distilbert-base-uncased,edurabsa,top25 - full,macro_balanced_accuracy,8,-0.0239,-0.0327,-0.0148,0/8,YES
distilbert-base-uncased,edurabsa,top25 - full,macro_f1,8,-0.0312,-0.0544,-0.0102,1/8,YES
distilbert-base-uncased,edurabsa,top25 - full,micro_f1,8,-0.0352,-0.0758,0.0021,4/8,no
distilbert-base-uncased,edurabsa,random_5k - full,sentiment_mse_detected,8,0.0639,0.0055,0.1177,1/8,YES
distilbert-base-uncased,edurabsa,random_5k - full,macro_balanced_accuracy,8,0.0002,-0.0062,0.009,3/8,no
distilbert-base-uncased,edurabsa,random_5k - full,macro_f1,8,-0.0016,-0.0218,0.022,3/8,no
distilbert-base-uncased,edurabsa,random_5k - full,micro_f1,8,-0.007,-0.0468,0.0374,3/8,no
