bucket,ok,approach,n_real_reviews,n_overlap_aspects,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,sentiment_mse_detected,eval_split,note
top25,True,bert-base-uncased,2829,9,0.5721484196060467,0.2912100722779203,0.38597033374536466,0.403397441089699,0.21435469211942224,0.23114405794988935,0.5798550028609519,0.37230851030042633,real_herath_mapped,
top50,True,bert-base-uncased,2829,9,0.4381954887218045,0.33970622522732574,0.38271604938271603,0.57252502579712,0.25048033562826877,0.24403962821491815,0.5753772718616387,0.33133157083740905,real_herath_mapped,
full,True,bert-base-uncased,2829,9,0.2791963950431844,0.3467008626719515,0.3093083723348934,0.5271321430315913,0.3533953889566414,0.26639455422269825,0.5874348536615569,0.37812413331312295,real_herath_mapped,
bot25,True,bert-base-uncased,2829,9,0.1971280698193627,0.9058055490790394,0.32379047380922615,0.21976038403800155,0.8217797689133951,0.2765825702141517,0.5329837913006839,0.7673371075998452,real_herath_mapped,
random_5k,True,bert-base-uncased,2829,9,0.43470304441856594,0.609232921426906,0.507378640776699,0.46412705104577096,0.40856964361671216,0.32572341066881355,0.6014558442932283,0.46796672252176946,real_herath_mapped,
