bucket,seed,arch,target,micro_f1,macro_f1,macro_balanced_accuracy,sentiment_mse_detected,n_overlap_aspects
top25,42,bert-base-uncased,herath,0.38597033374536466,0.23114405794988935,0.5798550028609519,0.37230851030042633,9
top25,42,bert-base-uncased,edurabsa,0.4553623429569848,0.33894341119127075,0.5624418232949197,0.5957504781360984,7
top25,42,distilbert-base-uncased,herath,0.319202518363064,0.22798077379554835,0.5655304696596511,0.35443136902573164,9
top25,42,distilbert-base-uncased,edurabsa,0.4097953282428952,0.30001577290845516,0.5261567901678391,0.7395330165691683,7
top25,17,bert-base-uncased,herath,0.25142554037926007,0.175822865529723,0.5546550490038881,0.35458588310909633,9
top25,17,bert-base-uncased,edurabsa,0.49400621577623205,0.3094535360850677,0.5521323670846849,0.5282412439036726,7
top25,17,distilbert-base-uncased,herath,0.35031724668333014,0.21288585279655012,0.5405116209529742,0.4436033147216477,9
top25,17,distilbert-base-uncased,edurabsa,0.3923457103028767,0.2535902594523452,0.5088437739147078,0.5496304441111746,7
top25,23,bert-base-uncased,herath,0.1939141501793359,0.20048271565039802,0.5506521240175126,0.4150439835761929,9
top25,23,bert-base-uncased,edurabsa,0.398961937716263,0.19077153724189358,0.5095501764917427,0.5364515775559268,7
top25,23,distilbert-base-uncased,herath,0.31982333073525593,0.22793193778414306,0.5730419096602287,0.36648373565713876,9
top25,23,distilbert-base-uncased,edurabsa,0.3751895662723688,0.25475287624551957,0.5171315005133744,0.7958552136767525,7
top25,41,bert-base-uncased,herath,0.2933668536066525,0.23657168590566233,0.5660375994546227,0.39223219542785615,9
top25,41,bert-base-uncased,edurabsa,0.3682522473686588,0.26499573486034095,0.5164180782542576,0.5273145498680218,7
top25,41,distilbert-base-uncased,herath,0.2913548797962108,0.27407658955834413,0.5554873506246982,0.3787302123687582,9
top25,41,distilbert-base-uncased,edurabsa,0.4268633729177644,0.3030864980675064,0.5232694227417125,0.5949998285480937,7
top25,53,bert-base-uncased,herath,0.2773401721927093,0.23679901722073138,0.5509946977354334,0.36072653242039704,9
top25,53,bert-base-uncased,edurabsa,0.3412734536994892,0.27321185157502714,0.5357711886710627,0.48281365358788886,7
top25,53,distilbert-base-uncased,herath,0.2575323633864131,0.20264925229279096,0.549746926194972,0.427406481244077,9
top25,53,distilbert-base-uncased,edurabsa,0.48821857522691847,0.2848078040678218,0.5375263684625893,0.5095363288292933,7
top25,89,bert-base-uncased,herath,0.4246716836358271,0.24605572707407683,0.5797032203174199,0.43766853861986893,9
