split,audit_model,n_reviews,n_declared_aspects,aspect_supported_rate,aspect_sentiment_match_rate,row_full_support_rate,row_full_sentiment_match_rate
production_10k_sample,gpt-5.2,250,501,0.7705,0.4232,0.5920,0.2120
accepted_canary_v5,gpt-5.2,25,44,0.7727,0.3182,0.6000,0.2800
