subset,n_rows,mean_support_rate,mean_match_rate,mean_row_score,pct_0.00,pct_0.33,pct_0.50,pct_0.67,pct_1.00
full_10K,10000,0.8421,0.5766,0.5766,22.16,11.13,18.17,11.01,37.53
seed42_holdout_numpy_permutation_1000 (FALLBACK: matches manuscript text),1000,0.837,0.5763,0.5763,22.3,10.4,18.2,12.1,37.0
seed42_holdout_nested_sklearn_1000 (FALLBACK: matches notebook code path),1000,0.8443,0.575,0.575,23.2,9.3,19.0,10.8,37.7
