bucket,n_seeds,seeds,micro_f1_mean,micro_f1_std,micro_f1_ci_lo,micro_f1_ci_hi,macro_f1_mean,macro_f1_std,macro_f1_ci_lo,macro_f1_ci_hi,macro_balanced_accuracy_mean,macro_balanced_accuracy_std,macro_balanced_accuracy_ci_lo,macro_balanced_accuracy_ci_hi,sentiment_mse_detected_mean,sentiment_mse_detected_std,sentiment_mse_detected_ci_lo,sentiment_mse_detected_ci_hi,micro_precision_mean,micro_precision_std,micro_precision_ci_lo,micro_precision_ci_hi,micro_recall_mean,micro_recall_std,micro_recall_ci_lo,micro_recall_ci_hi,macro_recall_mean,macro_recall_std,macro_recall_ci_lo,macro_recall_ci_hi
top25,4,"42,17,23,41",0.2812,0.0809,0.2188,0.3523,0.211,0.0283,0.1882,0.2339,0.5628,0.0131,0.5527,0.5736,0.3835,0.026,0.3634,0.4044,0.3267,0.1686,0.2172,0.502,0.2653,0.0715,0.2082,0.3225,0.2593,0.0627,0.2171,0.3173
top50,4,"42,17,23,41",0.3613,0.033,0.3329,0.3858,0.271,0.0414,0.2418,0.3081,0.5855,0.0239,0.5648,0.6068,0.3446,0.0156,0.3313,0.3578,0.3488,0.0661,0.2949,0.4124,0.3854,0.0541,0.3479,0.4392,0.3306,0.0719,0.2689,0.3996
full,4,"42,17,23,41",0.32,0.1036,0.2302,0.3964,0.2581,0.0345,0.2307,0.2871,0.5768,0.0304,0.5524,0.608,0.3691,0.0368,0.3411,0.4068,0.2857,0.0962,0.198,0.3646,0.3703,0.1341,0.2536,0.4747,0.3411,0.0268,0.3147,0.358
bot25,4,"42,17,23,41",0.3209,0.0564,0.2685,0.3596,0.2567,0.017,0.2421,0.2707,0.5258,0.0133,0.5149,0.5367,0.7473,0.143,0.6407,0.8709,0.1986,0.0372,0.1646,0.225,0.8412,0.1304,0.717,0.9273,0.7618,0.0798,0.6917,0.8192
random_5k,4,"42,17,23,41",0.4086,0.0915,0.3358,0.4815,0.2849,0.0313,0.2617,0.312,0.5882,0.0101,0.5798,0.5976,0.4015,0.0514,0.3611,0.447,0.3644,0.1205,0.2634,0.4654,0.4901,0.1017,0.4063,0.5739,0.3854,0.0724,0.3142,0.4386
